product_name,status,bp_eur,bp_eur_cz,delivery_month,available,available_cz,released_rtd,brand,panel_colour,panel_design,panel_power,inverter_power,nomenclature_group,delivery_cw,length,height,width,pcs_ctn,pcs_pal,available_10_only,available_15_only,attribute_2,min_receipt_date,max_receipt_date
JAM54S30-415-MR-BF,       ,0.10300000000000001,0.108,02/2024,936,0,2808,JASOLAR,BF,GLASS,415,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0041,1716422400000.0,1716422400000.0
JAM54S30-415-MR-BF,       ,0.105,0.11,,18,18,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,18,0,24OV010100000121-0045,1714348800000.0,1714348800000.0
JAM54S30-415-MR-BF,       ,0.10300000000000001,0.108,02/2024,1872,0,0,JASOLAR,BF,GLASS,415,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0046,,
JAM54S30-420-GR-BF,       ,0.105,0.11,,11,11,0,JASOLAR,BF,GLASS,420,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,11,0,24OV010100000121-0012,1709683200000.0,1710892800000.0
JAM54S30-420-GR-BF,       ,0.101,0.106,,338,338,0,JASOLAR,BF,GLASS,420,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,338,0,24OV010100000121-0013,1710460800000.0,1722556800000.0
JAM54S31-400-MR-ALLBLACK,       ,0.10650000000000001,0.01,02/2024,0,0,0,JASOLAR,FB,GLASS,400,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0002,,
JAM54S31-405-MR-ALLBLACK,       ,0.115,0.12,,6,6,0,JASOLAR,FB,GLASS,405,0,PAN_JAS,,1134.0,30.0,1722.0,936,36,6,0,23OV880100000001-0097,1704067200000.0,1704067200000.0
JAM54S31-405-MR-ALLBLACK,       ,0.107,0.112,02/2024,8424,0,0,JASOLAR,FB,GLASS,405,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,0,0,24OV010100000121-0003,1720483200000.0,1720483200000.0
JAM54S31-405-MR-ALLBLACK,       ,0.10650000000000001,0.1115,02/2024,11777,545,0,JASOLAR,FB,GLASS,405,0,PAN_JAS,7,1134.0,30.0,1722.0,936,36,545,0,24OV010100000121-0004,1716508800000.0,1719446400000.0
JAM60S20-385-MR-BF,       ,0.125,0.13,,3,3,0,JASOLAR,BF,GLASS,385,0,PAN_JAS,,1052.0,35.0,1769.0,806,31,3,0,23OV880100000001-0098,1704067200000.0,1704067200000.0
JAM60S20-385-MR-BF,       ,0.11,0.115,,93,93,0,JASOLAR,BF,GLASS,385,0,PAN_JAS,,1052.0,35.0,1769.0,806,31,93,0,24OV010100000268-0001,1715644800000.0,1715644800000.0
JAM60S20-385-MR-BF [NEW],       ,0.125,0.13,,83,83,0,JASOLAR,BF,GLASS,385,0,PAN_JAS,,1052.0,30.0,1769.0,806,31,83,0,23OV880100000001-0099,1704067200000.0,1704067200000.0
JAM60S20-385-MR-BF [NEW],       ,0.105,0.11,,216,216,0,JASOLAR,BF,GLASS,385,0,PAN_JAS,,1052.0,30.0,1769.0,806,31,216,0,24OV010100000121-0001,1709683200000.0,1714348800000.0
JAM66S30-500-MR SF,       ,0.116,0.121,,0,0,0,JASOLAR,SF,GLASS,500,0,PAN_JAS,,1134.0,30.0,2093.0,792,36,0,0,24OV010100000121-0024,1711065600000.0,1714003200000.0
JAM72D30-540-MB-SF,       ,0.105,0.11,,16,16,0,JASOLAR,SF,2GLASS,540,0,PAN_JAS,,1052.0,35.0,2117.0,620,31,16,0,24OV010100000024-0001,1705795200000.0,1705795200000.0
JAM72D30-545-MB-SF,       ,0.11,0.115,,4,4,0,JASOLAR,SF,2GLASS,545,0,PAN_JAS,,1052.0,35.0,2117.0,620,31,4,0,23OV880100000001-0102,1704067200000.0,1704067200000.0
JAM72D30-545-MB-SF,       ,0.115,0.122,04/2024,6083,323,0,JASOLAR,SF,2GLASS,545,0,PAN_JAS,14,1052.0,35.0,2117.0,620,31,323,0,24OV010100000122-0001,1715212800000.0,1716508800000.0
JAM72D30-550-MB-SF,       ,0.105,0.11,06/2024,2160,0,0,JASOLAR,SF,2GLASS,550,0,PAN_JAS,22,1052.0,35.0,2117.0,720,31,0,0,24OV010100000121-0027,1714003200000.0,1714003200000.0
JAM72D30-550-MB-SF,       ,0.105,0.11,06/2024,8640,0,0,JASOLAR,SF,2GLASS,550,0,PAN_JAS,22,1052.0,35.0,2117.0,720,31,0,0,24OV010100000121-0028,,
JAM72D30-550-MB-SF,       ,0.115,0.122,03/2024,720,0,0,JASOLAR,SF,2GLASS,550,0,PAN_JAS,12,1052.0,35.0,2117.0,720,31,0,0,24OV010100000122-0002,1712880000000.0,1713398400000.0
JAM72D30-550-MB-SF,       ,0.129,0.132,,554,554,0,JASOLAR,SF,2GLASS,550,0,PAN_JAS,,1052.0,35.0,2117.0,720,31,554,0,24OV010100000150-0001,1710460800000.0,1712188800000.0
JAM72D30-550-MB-SF,       ,0.132,0.132,,325,325,0,JASOLAR,SF,2GLASS,550,0,PAN_JAS,,1052.0,35.0,2117.0,720,31,325,0,24OV010100000184-0001,1710806400000.0,1710806400000.0
JAM72S20-460-MR,       ,0.125,0.13,,4,4,0,JASOLAR,SF,GLASS,460,0,PAN_JAS,,1052.0,35.0,2112.0,682,31,4,0,23OV880100000001-0103,1704067200000.0,1704067200000.0
